NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
healthbot              rfs-redis-6cc57b67fb-9w85f                                        1/1     Running     0          38h     10.244.135.39    node3   <none>           <none>
healthbot              rfs-redis-6cc57b67fb-qwbw9                                        1/1     Running     0          38h     10.244.166.159   node1   <none>           <none>
healthbot              tsdb-shim-9989946cf-29mwv                                         1/1     Running     0          38h     10.244.166.175   node1   <none>           <none>
healthbot              udf-farm-2v6pl                                                    1/1     Running     0          38h     10.244.104.54    node2   <none>           <none>
healthbot              udf-farm-dwd4w                                                    1/1     Running     0          38h     10.244.135.55    node3   <none>           <none>
healthbot              udf-farm-ltbkm                                                    1/1     Running     0          38h     10.244.166.178   node1   <none>           <none>
healthbot              workflow-controller-54c78b4c57-qsdbw                              1/1     Running     0          38h     10.244.135.49    node3   <none>           <none>
kube-system            calico-kube-controllers-866b8bd7cb-qx6n7                          1/1     Running     0          38h     10.244.135.129   node0   <none>           <none>
kube-system            calico-node-bwv7w                                                 1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            calico-node-g6zg7                                                 1/1     Running     0          38h     172.16.11.103    node3   <none>           <none>
kube-system            calico-node-h72cg                                                 1/1     Running     0          38h     172.16.11.102    node2   <none>           <none>
kube-system            calico-node-zcpr4                                                 1/1     Running     0          38h     172.16.11.101    node1   <none>           <none>
kube-system            coredns-8dbdd69bc-4w45m                                           1/1     Running     0          38h     10.244.135.130   node0   <none>           <none>
kube-system            coredns-8dbdd69bc-n97jf                                           1/1     Running     0          38h     10.244.135.131   node0   <none>           <none>
kube-system            docker-registry-docker-registry-567c5f859d-k8rj4                  1/1     Running     0          38h     10.244.104.15    node2   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-4n2jr                       1/1     Running     0          38h     10.244.135.17    node3   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-777tj                       1/1     Running     0          38h     10.244.104.14    node2   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-9c2z8                       1/1     Running     0          38h     10.244.135.132   node0   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-wwk6z                       1/1     Running     0          38h     10.244.166.140   node1   <none>           <none>
kube-system            etcd-node0                                                        1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            fluentd-es-v2.3.1-2jt7w                                           1/1     Running     0          88m     10.244.166.183   node1   <none>           <none>
kube-system            fluentd-es-v2.3.1-dxskj                                           1/1     Running     0          89m     10.244.135.31    node3   <none>           <none>
kube-system            fluentd-es-v2.3.1-ttbz6                                           1/1     Running     0          87m     10.244.104.33    node2   <none>           <none>
kube-system            kube-apiserver-node0                                              1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            kube-controller-manager-node0                                     1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            kube-proxy-b5nff                                                  1/1     Running     0          38h     172.16.11.103    node3   <none>           <none>
kube-system            kube-proxy-c8k26                                                  1/1     Running     0          38h     172.16.11.101    node1   <none>           <none>
kube-system            kube-proxy-t6hhx                                                  1/1     Running     0          38h     172.16.11.102    node2   <none>           <none>
kube-system            kube-proxy-wt6bf                                                  1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            kube-scheduler-node0                                              1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
kube-system            metrics-server-658b97c6c6-dskmv                                   1/1     Running     0          38h     172.16.11.103    node3   <none>           <none>
kube-system            opendistro-index-pattern-56mx8                                    0/1     Error       0          37h     10.244.135.25    node3   <none>           <none>
kube-system            opendistro-index-pattern-cctz9                                    0/1     Error       0          37h     <none>           node3   <none>           <none>
kube-system            opendistro-index-pattern-h456w                                    0/1     Error       0          37h     10.244.135.61    node3   <none>           <none>
kube-system            opendistro-index-pattern-h7fsk                                    0/1     Error       0          38h     <none>           node1   <none>           <none>
kube-system            opendistro-index-pattern-jxhft                                    0/1     Error       0          37h     <none>           node3   <none>           <none>
kube-system            opendistro-index-pattern-nvfk9                                    0/1     Error       0          37h     10.244.166.167   node1   <none>           <none>
kube-system            opendistro-index-pattern-xbpgt                                    0/1     Error       0          38h     <none>           node1   <none>           <none>
kube-system            opendistro-init-security-settings-tmrc7                           0/1     Error       0          38h     10.244.104.29    node2   <none>           <none>
kube-system            opendistro-init-security-settings-wqgm7                           0/1     Completed   0          38h     10.244.166.149   node1   <none>           <none>
kube-system            opendistro-ism-policy-mxwbs                                       0/1     Completed   0          38h     10.244.135.31    node3   <none>           <none>
kube-system            opendistro-kibana-78747ccfb4-qh997                                1/1     Running     0          38h     10.244.135.28    node3   <none>           <none>
kube-system            opendistro-master-0                                               1/1     Running     0          38h     10.244.135.29    node3   <none>           <none>
kube-system            opendistro-master-1                                               1/1     Running     0          38h     10.244.104.27    node2   <none>           <none>
kube-system            opendistro-master-2                                               1/1     Running     0          38h     10.244.104.28    node2   <none>           <none>
kube-system            reloader-reloader-587cf56878-m8brr                                1/1     Running     0          38h     10.244.104.1     node2   <none>           <none>
kubernetes-dashboard   dashboard-metrics-scraper-76c64f9bd7-nb9ts                        1/1     Running     0          38h     10.244.104.16    node2   <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-c9f7dd5d7-knwh7                              1/1     Running     0          38h     10.244.135.18    node3   <none>           <none>
metallb-system         controller-7cccff9cfc-g2lpt                                       1/1     Running     0          38h     10.244.135.1     node3   <none>           <none>
metallb-system         speaker-2b6mj                                                     1/1     Running     0          38h     172.16.11.100    node0   <none>           <none>
metallb-system         speaker-m2msr                                                     1/1     Running     0          38h     172.16.11.103    node3   <none>           <none>
