NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
kube-system            opendistro-master-2                                               1/1     Running     0          49m     10.244.135.30    node3   <none>           <none>
kube-system            reloader-reloader-587cf56878-2gt8q                                1/1     Running     0          75m     10.244.166.129   node1   <none>           <none>
kubernetes-dashboard   dashboard-metrics-scraper-76c64f9bd7-mg7wq                        1/1     Running     0          53m     10.244.135.17    node3   <none>           <none>
kubernetes-dashboard   kubernetes-dashboard-c9f7dd5d7-lnhsl                              1/1     Running     0          53m     10.244.135.16    node3   <none>           <none>
metallb-system         controller-7cccff9cfc-hxft8                                       1/1     Running     0          75m     10.244.135.1     node3   <none>           <none>
metallb-system         speaker-2w7t4                                                     1/1     Running     0          75m     172.16.11.100    node0   <none>           <none>
metallb-system         speaker-7b4p6                                                     1/1     Running     0          75m     172.16.11.102    node2   <none>           <none>
metallb-system         speaker-jms2f                                                     1/1     Running     0          75m     172.16.11.101    node1   <none>           <none>
metallb-system         speaker-vqdlc                                                     1/1     Running     0          75m     172.16.11.103    node3   <none>           <none>
northstar              bmp-557c5f79f4-wqmh8                                              3/3     Running     0          25m     10.244.135.24    node3   <none>           <none>
northstar              dcscheduler-645cc48484-dj4zr                                      2/2     Running     0          25m     10.244.104.46    node2   <none>           <none>
northstar              license-util-6f9dc96f64-jjgcv                                     1/1     Running     0          24m     10.244.104.55    node2   <none>           <none>
northstar              ns-anycastgroup-75b86cbfc4-f5g7d                                  1/1     Running     0          24m     10.244.135.40    node3   <none>           <none>
northstar              ns-celeryscheduler-8b99874d9-d7wz8                                1/1     Running     0          24m     10.244.166.157   node1   <none>           <none>
northstar              ns-celeryworker-0                                                 1/1     Running     0          25m     10.244.104.50    node2   <none>           <none>
northstar              ns-celeryworker-1                                                 1/1     Running     0          24m     10.244.104.54    node2   <none>           <none>
northstar              ns-cmgd-cf65ff44d-c4nxr                                           3/3     Running     0          26m     10.244.135.31    node3   <none>           <none>
northstar              ns-configserver-5c74cfc54f-qp7vd                                  2/2     Running     0          25m     10.244.166.144   node1   <none>           <none>
northstar              ns-dbinit-nq4rd                                                   0/1     Completed   0          26m     10.244.135.5     node3   <none>           <none>
northstar              ns-dbutils-78b687fd6f-bmfx4                                       1/1     Running     0          24m     10.244.104.52    node2   <none>           <none>
northstar              ns-dpadapter-6d5b546c69-rbfj7                                     2/2     Running     0          24m     10.244.104.53    node2   <none>           <none>
northstar              ns-epe-planner-8d99b4d8-k67lx                                     1/1     Running     0          24m     10.244.166.161   node1   <none>           <none>
northstar              ns-espublisher-76b7d6b84d-bhzxz                                   1/1     Running     0          25m     10.244.166.153   node1   <none>           <none>
